phase_id|phase_title|commit_message|depends_on|task_id|task_title|domain|agent_type
INFRA|Shared Infrastructure|feat(FTR-011): implement shared infrastructure (INFRA)||INFRA-T01|Audit existing bin/cli.js structure and exports|BE|developer-backend
US-01|Implement readManifest() Function|feat(FTR-011): implement US-01 — Implement readManifest() Function|INFRA|US-01-T01|Implement readManifest(destRoot) function in bin/cli.js|BE|developer-backend
US-01|Implement readManifest() Function|feat(FTR-011): implement US-01 — Implement readManifest() Function|INFRA|US-01-T03|Export readManifest via module.exports guard|BE|developer-backend
US-01|Implement readManifest() Function|feat(FTR-011): implement US-01 — Implement readManifest() Function|INFRA|US-01-T02|Create unit test file tests/cli/readManifest.test.js|TEST|developer-testing
US-02|Implement computeOrphans() Function|feat(FTR-011): implement US-02 — Implement computeOrphans() Function|INFRA|US-02-T01|Implement computeOrphans(oldFiles, newFiles) function in bin/cli.js|BE|developer-backend
US-02|Implement computeOrphans() Function|feat(FTR-011): implement US-02 — Implement computeOrphans() Function|INFRA|US-02-T03|Export computeOrphans via module.exports guard|BE|developer-backend
US-02|Implement computeOrphans() Function|feat(FTR-011): implement US-02 — Implement computeOrphans() Function|INFRA|US-02-T02|Create unit test file tests/cli/computeOrphans.test.js|TEST|developer-testing
US-03|Implement moveToTrash() Function|feat(FTR-011): implement US-03 — Implement moveToTrash() Function|INFRA|US-03-T01|Implement moveToTrash(destRoot, relativePath) function in bin/cli.js|BE|developer-backend
US-03|Implement moveToTrash() Function|feat(FTR-011): implement US-03 — Implement moveToTrash() Function|INFRA|US-03-T03|Export moveToTrash via module.exports guard|BE|developer-backend
US-03|Implement moveToTrash() Function|feat(FTR-011): implement US-03 — Implement moveToTrash() Function|INFRA|US-03-T02|Create unit test file tests/cli/moveToTrash.test.js|TEST|developer-testing
US-04|Implement writeManifest() Function|feat(FTR-011): implement US-04 — Implement writeManifest() Function|INFRA|US-04-T01|Implement writeManifest(destRoot, fileList) function in bin/cli.js|BE|developer-backend
US-04|Implement writeManifest() Function|feat(FTR-011): implement US-04 — Implement writeManifest() Function|INFRA|US-04-T03|Export writeManifest via module.exports guard|BE|developer-backend
US-04|Implement writeManifest() Function|feat(FTR-011): implement US-04 — Implement writeManifest() Function|INFRA|US-04-T02|Create unit test file tests/cli/writeManifest.test.js|TEST|developer-testing
US-05|Integrate Prune Phase into runInstall() and Add UI Display|feat(FTR-011): implement US-05 — Integrate Prune Phase into runInstall() and Add UI Display|INFRA US-01 US-02 US-03 US-04|US-05-T01|Integrate prune phase calls into runInstall() before file copy|BE|developer-backend
US-05|Integrate Prune Phase into runInstall() and Add UI Display|feat(FTR-011): implement US-05 — Integrate Prune Phase into runInstall() and Add UI Display|INFRA US-01 US-02 US-03 US-04|US-05-T02|Implement interactive prompts for orphan confirmation in runInstall()|BE|developer-backend
US-05|Integrate Prune Phase into runInstall() and Add UI Display|feat(FTR-011): implement US-05 — Integrate Prune Phase into runInstall() and Add UI Display|INFRA US-01 US-02 US-03 US-04|US-05-T03|Implement --force flag to auto-move all orphans|BE|developer-backend
US-05|Integrate Prune Phase into runInstall() and Add UI Display|feat(FTR-011): implement US-05 — Integrate Prune Phase into runInstall() and Add UI Display|INFRA US-01 US-02 US-03 US-04|US-05-T04|Display REMOVED plan section and prune summary in console output|BE|developer-backend
US-06|Add CI Safety Net — Agent Name-to-Filename Alignment Check|feat(FTR-011): implement US-06 — Add CI Safety Net — Agent Name-to-Filename Alignment Check|INFRA US-01 US-02 US-03 US-04 US-05|US-06-T01|Add agent name-check assertion to tests/frontmatter/agents.test.js|TEST|developer-testing
US-06|Add CI Safety Net — Agent Name-to-Filename Alignment Check|feat(FTR-011): implement US-06 — Add CI Safety Net — Agent Name-to-Filename Alignment Check|INFRA US-01 US-02 US-03 US-04 US-05|US-06-T02|Run full test suite and verify all tests pass|TEST|developer-testing
