phase_id|phase_title|commit_message|depends_on|task_id|task_title|domain|agent_type
INFRA|Shared infrastructure setup — asset catalog and runtime resolution core|feat(FTR-015): shared infrastructure setup||INFRA-TASK-BE-01|Create lib/asset-catalog.js module with asset categories|BE|developer-backend
INFRA|Shared infrastructure setup — asset catalog and runtime resolution core|feat(FTR-015): shared infrastructure setup||INFRA-TASK-TEST-01|Add asset-catalog.test.js unit tests|TEST|developer-testing
INFRA|Shared infrastructure setup — asset catalog and runtime resolution core|feat(FTR-015): shared infrastructure setup||INFRA-TASK-BE-02|Add resolveClaudeRuntimeAsset() function with Phase 0 input validation|BE|developer-backend
INFRA|Shared infrastructure setup — asset catalog and runtime resolution core|feat(FTR-015): shared infrastructure setup||INFRA-TASK-TEST-02|Add resolver.test.js comprehensive unit tests for resolveClaudeRuntimeAsset()|TEST|developer-testing
US-01|Classify all files under .claude/ so that migration is planned accurately|feat(FTR-015): implement US-01 classify files||US-01-TASK-INFRA-01|Create file classification inventory document|INFRA|developer-backend
US-02|Migrate test files from .claude/scripts/tests/ to tests/ so tests are organized separately|feat(FTR-015): implement US-02 migrate test files|US-01|US-02-TASK-BE-01|Execute git mv to migrate test files to tests/|BE|developer-backend
US-02|Migrate test files from .claude/scripts/tests/ to tests/ so tests are organized separately|feat(FTR-015): implement US-02 migrate test files|US-01|US-02-TASK-BE-02|Update import paths in migrated test files|BE|developer-backend
US-02|Migrate test files from .claude/scripts/tests/ to tests/ so tests are organized separately|feat(FTR-015): implement US-02 migrate test files|US-01|US-02-TASK-INFRA-01|Update jest.config.js for tests/ location|INFRA|developer-backend
US-02|Migrate test files from .claude/scripts/tests/ to tests/ so tests are organized separately|feat(FTR-015): implement US-02 migrate test files|US-01|US-02-TASK-INFRA-02|Update package.json test scripts|INFRA|developer-backend
US-02|Migrate test files from .claude/scripts/tests/ to tests/ so tests are organized separately|feat(FTR-015): implement US-02 migrate test files|US-01|US-02-TASK-TEST-01|Verify all tests pass after migration|TEST|developer-testing
US-03|Migrate runtime assets to src/claude/ so source is in unprotected directory|feat(FTR-015): implement US-03 migrate runtime assets|US-02|US-03-TASK-BE-01|Execute git mv of runtime assets to src/claude/|BE|developer-backend
US-03|Migrate runtime assets to src/claude/ so source is in unprotected directory|feat(FTR-015): implement US-03 migrate runtime assets|US-02|US-03-TASK-BE-02|Verify migration completeness|BE|developer-backend
US-04|Update npm packaging to distribute src/claude/ so published packages contain only runtime|feat(FTR-015): implement US-04 update npm packaging|US-03|US-04-TASK-INFRA-01|Update package.json files[] array|INFRA|developer-backend
US-04|Update npm packaging to distribute src/claude/ so published packages contain only runtime|feat(FTR-015): implement US-04 update npm packaging|US-03|US-04-TASK-TEST-01|Add comprehensive npm pack tarball content regression test|TEST|developer-testing
US-05|Create asset catalog and update installers to use catalog-driven copy plans|feat(FTR-015): implement US-05 catalog and installers|INFRA US-04|US-05-TASK-BE-01|Update expandMappings() to read from asset catalog|BE|developer-backend
US-05|Create asset catalog and update installers to use catalog-driven copy plans|feat(FTR-015): implement US-05 catalog and installers|INFRA US-04|US-05-TASK-BE-02|Remove isDistributable() and use catalog membership|BE|developer-backend
US-05|Create asset catalog and update installers to use catalog-driven copy plans|feat(FTR-015): implement US-05 catalog and installers|INFRA US-04|US-05-TASK-BE-03|Add validatePurityGuard() function|BE|developer-backend
US-05|Create asset catalog and update installers to use catalog-driven copy plans|feat(FTR-015): implement US-05 catalog and installers|INFRA US-04|US-05-TASK-INFRA-01|Add toolkit:validate-purity script and prepack hook|INFRA|developer-backend
US-05|Create asset catalog and update installers to use catalog-driven copy plans|feat(FTR-015): implement US-05 catalog and installers|INFRA US-04|US-05-TASK-BE-04|Add --dry-run flag to install commands|BE|developer-backend
