phase_id|phase_title|commit_message|depends_on|task_id|task_title|domain|agent_type
INFRA|Shared ledger-module primitives, CLI dispatcher, and test scaffolds|feat(FTR-016): add execution-ledger shared primitives and CLI dispatcher||INFRA-TASK-BE-01|Create lib/execution-ledger.js skeleton with public API surface|BE|developer-backend
INFRA|Shared ledger-module primitives, CLI dispatcher, and test scaffolds|feat(FTR-016): add execution-ledger shared primitives and CLI dispatcher||INFRA-TASK-BE-02|Implement computeOperationId with a 128-bit tuple hash|BE|developer-backend
INFRA|Shared ledger-module primitives, CLI dispatcher, and test scaffolds|feat(FTR-016): add execution-ledger shared primitives and CLI dispatcher||INFRA-TASK-BE-03|Implement atomic _readLedger, _writeLedger, and _backupCorruptFile primitives|BE|developer-backend
INFRA|Shared ledger-module primitives, CLI dispatcher, and test scaffolds|feat(FTR-016): add execution-ledger shared primitives and CLI dispatcher||INFRA-TASK-BE-04|Implement _acquireLock and _releaseLock with O_EXCL owner token|BE|developer-backend
INFRA|Shared ledger-module primitives, CLI dispatcher, and test scaffolds|feat(FTR-016): add execution-ledger shared primitives and CLI dispatcher||INFRA-TASK-BE-05|Implement _isLockStale for well-formed and orphan lock branches|BE|developer-backend
INFRA|Shared ledger-module primitives, CLI dispatcher, and test scaffolds|feat(FTR-016): add execution-ledger shared primitives and CLI dispatcher||INFRA-TASK-BE-11|Implement shellQuotePosix argument-escaping helper|BE|developer-backend
INFRA|Shared ledger-module primitives, CLI dispatcher, and test scaffolds|feat(FTR-016): add execution-ledger shared primitives and CLI dispatcher||INFRA-TASK-BE-13|Implement parseLedgerArgs CLI argument validator|BE|developer-backend
INFRA|Shared ledger-module primitives, CLI dispatcher, and test scaffolds|feat(FTR-016): add execution-ledger shared primitives and CLI dispatcher||INFRA-TASK-BE-12|Add handleLedgerCommand dispatcher wiring bin/cli.js to the module|BE|developer-backend
INFRA|Shared ledger-module primitives, CLI dispatcher, and test scaffolds|feat(FTR-016): add execution-ledger shared primitives and CLI dispatcher||INFRA-TASK-TEST-01|Scaffold tests/lib/execution-ledger.test.js module test file|TEST|developer-testing
INFRA|Shared ledger-module primitives, CLI dispatcher, and test scaffolds|feat(FTR-016): add execution-ledger shared primitives and CLI dispatcher||INFRA-TASK-TEST-02|Scaffold tests/cli/ledger-cli.test.js CLI test file|TEST|developer-testing
US-01|Record a Tracked Activity Execution|feat(FTR-016): implement US-01 record activity execution via ledger open|INFRA|US-01-TASK-BE-01|Implement open() module operation with JavaScript ISO timestamps|BE|developer-backend
US-01|Record a Tracked Activity Execution|feat(FTR-016): implement US-01 record activity execution via ledger open|INFRA|US-01-TASK-BE-02|Wire ai-toolkit ledger open CLI subcommand with fail-closed result|BE|developer-backend
US-01|Record a Tracked Activity Execution|feat(FTR-016): implement US-01 record activity execution via ledger open|INFRA|US-01-TASK-TEST-01|Write open create, timestamp, and open-failure hard-stop tests|TEST|developer-testing
US-01|Record a Tracked Activity Execution|feat(FTR-016): implement US-01 record activity execution via ledger open|INFRA|US-01-TASK-BE-03|Migrate pm-phase1.js to the ledger CLI facade preserving the tracked-activity set|BE|developer-backend
US-02|Complete a Tracked Activity Successfully|feat(FTR-016): implement US-02 complete activity via ledger close|INFRA US-01|US-02-TASK-BE-01|Implement close() module operation with resume-safe token preservation|BE|developer-backend
US-02|Complete a Tracked Activity Successfully|feat(FTR-016): implement US-02 complete activity via ledger close|INFRA US-01|US-02-TASK-BE-02|Wire ai-toolkit ledger close CLI subcommand with --tokens validation|BE|developer-backend
US-02|Complete a Tracked Activity Successfully|feat(FTR-016): implement US-02 complete activity via ledger close|INFRA US-01|US-02-TASK-TEST-01|Write close token-preservation and never-opened rejection tests|TEST|developer-testing
US-02|Complete a Tracked Activity Successfully|feat(FTR-016): implement US-02 complete activity via ledger close|INFRA US-01|US-02-TASK-BE-03|Migrate pm-phase2.js to the ledger CLI facade|BE|developer-backend
US-03|Record Activity Failure|feat(FTR-016): implement US-03 record activity failure via ledger fail|INFRA US-01 US-02|US-03-TASK-BE-01|Implement fail() module operation with clear never-opened rejection|BE|developer-backend
US-03|Record Activity Failure|feat(FTR-016): implement US-03 record activity failure via ledger fail|INFRA US-01 US-02|US-03-TASK-BE-02|Wire ai-toolkit ledger fail CLI subcommand with fail-closed result|BE|developer-backend
US-03|Record Activity Failure|feat(FTR-016): implement US-03 record activity failure via ledger fail|INFRA US-01 US-02|US-03-TASK-TEST-01|Write fail with-and-without-error and never-opened tests|TEST|developer-testing
US-03|Record Activity Failure|feat(FTR-016): implement US-03 record activity failure via ledger fail|INFRA US-01 US-02|US-03-TASK-BE-03|Migrate pm-phase3.js to the ledger CLI facade with terminal fail-closed|BE|developer-backend
US-03|Record Activity Failure|feat(FTR-016): implement US-03 record activity failure via ledger fail|INFRA US-01 US-02|US-03-TASK-BE-04|Add null-compatibility to pm-phase3.js token recovery|BE|developer-backend
US-04|Record Activity Skip|feat(FTR-016): implement US-04 record activity skip via ledger skip|INFRA US-01 US-02 US-03|US-04-TASK-BE-01|Implement skip() module operation with create-or-update semantics|BE|developer-backend
US-04|Record Activity Skip|feat(FTR-016): implement US-04 record activity skip via ledger skip|INFRA US-01 US-02 US-03|US-04-TASK-BE-02|Wire ai-toolkit ledger skip CLI subcommand with fail-closed result|BE|developer-backend
US-04|Record Activity Skip|feat(FTR-016): implement US-04 record activity skip via ledger skip|INFRA US-01 US-02 US-03|US-04-TASK-TEST-01|Write skip create, update-in-place, and ambiguous-fallback tests|TEST|developer-testing
US-04|Record Activity Skip|feat(FTR-016): implement US-04 record activity skip via ledger skip|INFRA US-01 US-02 US-03|US-04-TASK-BE-03|Remove dead cli.js ledger bodies and confirm the module is the sole writer|BE|developer-backend
US-05|Record Feature Definition Activity|feat(FTR-016): implement US-05 feature definition via resolved features root|INFRA|US-05-TASK-BE-01|Implement resolveFeaturesRoot and the AGENTS.md convention grammar parser|BE|developer-backend
US-05|Record Feature Definition Activity|feat(FTR-016): implement US-05 feature definition via resolved features root|INFRA|US-05-TASK-BE-02|Add the ai-toolkit resolve-features-root invocable command|BE|developer-backend
US-05|Record Feature Definition Activity|feat(FTR-016): implement US-05 feature definition via resolved features root|INFRA|US-05-TASK-BE-03|Migrate define-feature.md to resolve-features-root and the ledger facade with null tokens|BE|developer-backend
US-05|Record Feature Definition Activity|feat(FTR-016): implement US-05 feature definition via resolved features root|INFRA|US-05-TASK-TEST-01|Write resolve-features-root resolution, grammar, and CLI-contract tests|TEST|developer-testing
US-05|Record Feature Definition Activity|feat(FTR-016): implement US-05 feature definition via resolved features root|INFRA|US-05-TASK-TEST-02|Write installer/packaging propagation tests for ledger assets|TEST|developer-testing
US-06|Handle Corrupt Ledger File|feat(FTR-016): implement US-06 corrupt ledger fail-closed handling|INFRA|US-06-TASK-BE-01|Implement fail-closed corrupt-ledger handling in the module|BE|developer-backend
US-06|Handle Corrupt Ledger File|feat(FTR-016): implement US-06 corrupt ledger fail-closed handling|INFRA|US-06-TASK-TEST-01|Write malformed-ledger backup and fail-closed tests|TEST|developer-testing
US-07|Resume Execution After Interruption|feat(FTR-016): implement US-07 idempotent resume on stable operation_id|INFRA US-01 US-02|US-07-TASK-TEST-01|Write resume idempotency and duplicate-prevention tests|TEST|developer-testing
US-08|Execute a Rework of an Activity|feat(FTR-016): implement US-08 rework yields a distinct operation_id|INFRA US-01|US-08-TASK-TEST-01|Write new-attempt distinct-operation_id and determinism tests|TEST|developer-testing
US-09|Concurrently Update Ledger from Multiple Agents|feat(FTR-016): implement US-09 concurrent updates via lock serialization|INFRA US-02|US-09-TASK-TEST-01|Write concurrent-update lock-serialization tests|TEST|developer-testing
US-10|Recover from Stale Lock|feat(FTR-016): implement US-10 stale and orphan lock recovery|INFRA US-01|US-10-TASK-TEST-01|Write stale-lock and orphan-lock recovery tests with ABA guards|TEST|developer-testing
US-11|Verify CLI facade success and reader compatibility|feat(FTR-016): implement US-11 facade reader legacy and null compatibility|INFRA US-02|US-11-TASK-BE-01|Add null-compatibility to implement-feature/SKILL.md readers|BE|developer-backend
