phase_id|phase_title|commit_message|depends_on|task_id|task_title|domain|agent_type
INFRA|Shared Infrastructure|feat(FTR-013): implement shared infrastructure (INFRA)||INFRA-T01|Implement appendLedgerEntry() helper function|BE|developer-backend
INFRA|Shared Infrastructure|feat(FTR-013): implement shared infrastructure (INFRA)||INFRA-T02|Implement updateLedgerEntry() helper function|BE|developer-backend
US-01|Initialize and Track Ledger in define-feature Agent|feat(FTR-013): implement US-01 — Initialize and Track Ledger in define-feature Agent|INFRA|US-01-T01|Write initial ledger entry in define-feature after directory creation|BE|developer-backend
US-01|Initialize and Track Ledger in define-feature Agent|feat(FTR-013): implement US-01 — Initialize and Track Ledger in define-feature Agent|INFRA|US-01-T02|Update ledger entry to done status at define-feature completion|BE|developer-backend
US-01|Initialize and Track Ledger in define-feature Agent|feat(FTR-013): implement US-01 — Initialize and Track Ledger in define-feature Agent|INFRA|US-01-T03|Test define-feature ledger initialization and finalization|TEST|developer-testing
US-02|Track Phase 1 Agent Invocations|feat(FTR-013): implement US-02 — Track Phase 1 Agent Invocations|INFRA|US-02-T01|Add appendLedgerEntry and updateLedgerEntry helper functions to pm-phase1.js|BE|developer-backend
US-02|Track Phase 1 Agent Invocations|feat(FTR-013): implement US-02 — Track Phase 1 Agent Invocations|INFRA|US-02-T02|Implement missing ledger file creation logic in pm-phase1 startup|BE|developer-backend
US-02|Track Phase 1 Agent Invocations|feat(FTR-013): implement US-02 — Track Phase 1 Agent Invocations|INFRA|US-02-T03|Wrap generate-requirements agent call with append-update ledger pattern|BE|developer-backend
US-02|Track Phase 1 Agent Invocations|feat(FTR-013): implement US-02 — Track Phase 1 Agent Invocations|INFRA|US-02-T04|Wrap generate-tech-spec agent call with append-update ledger pattern|BE|developer-backend
US-02|Track Phase 1 Agent Invocations|feat(FTR-013): implement US-02 — Track Phase 1 Agent Invocations|INFRA|US-02-T05|Implement validation cycle tracking with unique ledger entries per cycle|BE|developer-backend
US-02|Track Phase 1 Agent Invocations|feat(FTR-013): implement US-02 — Track Phase 1 Agent Invocations|INFRA|US-02-T06|Test pm-phase1 ledger tracking with all three agent types|TEST|developer-testing
US-03|Track Phase 2 Agent Invocations|feat(FTR-013): implement US-03 — Track Phase 2 Agent Invocations|INFRA|US-03-T01|Add appendLedgerEntry and updateLedgerEntry helper functions to pm-phase2.js|BE|developer-backend
US-03|Track Phase 2 Agent Invocations|feat(FTR-013): implement US-03 — Track Phase 2 Agent Invocations|INFRA|US-03-T02|Wrap generate-work-breakdown agent call with append-update ledger pattern|BE|developer-backend
US-03|Track Phase 2 Agent Invocations|feat(FTR-013): implement US-03 — Track Phase 2 Agent Invocations|INFRA|US-03-T03|Test pm-phase2 ledger tracking|TEST|developer-testing
US-04|Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|feat(FTR-013): implement US-04 — Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|INFRA|US-04-T01|Add appendLedgerEntry and updateLedgerEntry helper functions to pm-phase3.js|BE|developer-backend
US-04|Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|feat(FTR-013): implement US-04 — Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|INFRA|US-04-T02|Wrap read-wb-csv agent call with append-update ledger pattern|BE|developer-backend
US-04|Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|feat(FTR-013): implement US-04 — Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|INFRA|US-04-T03|Wrap developer impl group agent calls with append-update ledger pattern|BE|developer-backend
US-04|Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|feat(FTR-013): implement US-04 — Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|INFRA|US-04-T04|Wrap developer test group agent calls with append-update ledger pattern|BE|developer-backend
US-04|Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|feat(FTR-013): implement US-04 — Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|INFRA|US-04-T05|Wrap review-solution agent call with append-update ledger pattern|BE|developer-backend
US-04|Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|feat(FTR-013): implement US-04 — Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|INFRA|US-04-T06|Wrap final-test-run agent call with append-update ledger pattern|BE|developer-backend
US-04|Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|feat(FTR-013): implement US-04 — Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|INFRA|US-04-T07|Wrap remediation agent call with append-update ledger pattern|BE|developer-backend
US-04|Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|feat(FTR-013): implement US-04 — Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|INFRA|US-04-T08|Wrap pr-and-registry agent call with append-update ledger pattern|BE|developer-backend
US-04|Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|feat(FTR-013): implement US-04 — Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|INFRA|US-04-T09|Wrap write-actuals agent call with append-update ledger pattern|BE|developer-backend
US-04|Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|feat(FTR-013): implement US-04 — Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|INFRA|US-04-T10|Wrap process-log agent call with append-update ledger pattern|BE|developer-backend
US-04|Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|feat(FTR-013): implement US-04 — Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|INFRA|US-04-T11|Remove or simplify per-phase persist-ledger agent calls|BE|developer-backend
US-04|Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|feat(FTR-013): implement US-04 — Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|INFRA|US-04-T12|Verify in-memory tokenLedger array is populated and unchanged|BE|developer-backend
US-04|Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|feat(FTR-013): implement US-04 — Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|INFRA|US-04-T13|Review and preserve 83bbaec disk-preference guard|BE|developer-backend
US-04|Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|feat(FTR-013): implement US-04 — Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|INFRA|US-04-T14|Sync repo define-feature and pm-phase1-2-3.js to global copies|BE|developer-backend
US-04|Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|feat(FTR-013): implement US-04 — Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|INFRA|US-04-T15|Run full test suite and verify no regressions|TEST|developer-testing
US-04|Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|feat(FTR-013): implement US-04 — Track Phase 3 Agent Invocations and Preserve In-Memory Ledger|INFRA|US-04-T16|Full pipeline integration test: define - phase1 - phase2 - phase3|TEST|developer-testing
