phase_id|phase_title|commit_message|depends_on|task_id|task_title|domain|agent_type
INFRA|Shared Infrastructure|feat(FTR-014): add shared infrastructure for wb scripts and validators||INFRA-T01|Create .claude/scripts/ directory structure|INFRA|developer-backend
INFRA|Shared Infrastructure|feat(FTR-014): add shared infrastructure for wb scripts and validators||INFRA-T02|Define WB JSON schema v2 constants|INFRA|developer-backend
INFRA|Shared Infrastructure|feat(FTR-014): add shared infrastructure for wb scripts and validators||INFRA-T03|Create AC table parser test fixture|INFRA|developer-backend
INFRA|Shared Infrastructure|feat(FTR-014): add shared infrastructure for wb scripts and validators||INFRA-T04|Define WB_WRAPPER_SCHEMA and WB_RENDER_SCHEMA constants|INFRA|developer-backend
INFRA|Shared Infrastructure|feat(FTR-014): add shared infrastructure for wb scripts and validators||INFRA-T05|Create test fixtures - valid and invalid WB JSON samples|INFRA|developer-backend
INFRA|Shared Infrastructure|feat(FTR-014): add shared infrastructure for wb scripts and validators||INFRA-T06|Extract buildWaves algorithm as shared test utility|INFRA|developer-backend
INFRA|Shared Infrastructure|feat(FTR-014): add shared infrastructure for wb scripts and validators||INFRA-T07|Define duration policy constants|INFRA|developer-backend
INFRA|Shared Infrastructure|feat(FTR-014): add shared infrastructure for wb scripts and validators||INFRA-T08|Define wb-validate error catalog constants|INFRA|developer-backend
US-01|Update generate-work-breakdown to produce schema v2 JSON|feat(FTR-014): update generate-work-breakdown agent for schema v2|INFRA|US-01-T01|Update generate-work-breakdown.md to produce schema v2 JSON|INFRA|developer-backend
US-01|Update generate-work-breakdown to produce schema v2 JSON|feat(FTR-014): update generate-work-breakdown agent for schema v2|INFRA|US-01-T02|Generate Work Breakdown JSON for a test feature|BE|developer-backend
US-01|Update generate-work-breakdown to produce schema v2 JSON|feat(FTR-014): update generate-work-breakdown agent for schema v2|INFRA|US-01-T03|Verify schema v2 compliance|TEST|developer-testing
US-02|Implement wb-validate.js deterministic validator|feat(FTR-014): implement wb-validate.js structural validator|INFRA|US-02-T01|Implement wb-validate.js entry point - JSON parse and schema version check|BE|developer-backend
US-02|Implement wb-validate.js deterministic validator|feat(FTR-014): implement wb-validate.js structural validator|INFRA|US-02-T02|Implement unique ID and required field validation|BE|developer-backend
US-02|Implement wb-validate.js deterministic validator|feat(FTR-014): implement wb-validate.js structural validator|INFRA|US-02-T03|Implement task ID format domain agentType validation|BE|developer-backend
US-02|Implement wb-validate.js deterministic validator|feat(FTR-014): implement wb-validate.js structural validator|INFRA|US-02-T04|Implement task dependency resolution - refs self-dep phase consistency|BE|developer-backend
US-02|Implement wb-validate.js deterministic validator|feat(FTR-014): implement wb-validate.js structural validator|INFRA|US-02-T05|Implement task cycle detection (DFS gray/black coloring)|BE|developer-backend
US-02|Implement wb-validate.js deterministic validator|feat(FTR-014): implement wb-validate.js structural validator|INFRA|US-02-T06|Implement phase-level dependency projection and cycle detection|BE|developer-backend
US-02|Implement wb-validate.js deterministic validator|feat(FTR-014): implement wb-validate.js structural validator|INFRA|US-02-T07|Implement phase schedulability check (buildWaves)|BE|developer-backend
